agent_id,o_zone_id,d_zone_id,o_node_id,d_node_id,agent_type,PCE,time_period,distance,travel_time,node_sequence,time_sequence
1572,21,31,6253,1318,1,1.0000,0756:33_0756:33,4.089,7.940,6253;5868;5174;5587;11259;5214;6256;5232;5219;11173;5114;5589;5112;11160;1318;,0756:30;0757:20;0757:39;0758:09;0758:50;0759:03;0759:53;0800:31;0801:08;0802:13;0802:42;0803:06;0803:29;0803:46;0804:30;
1573,17,16,1289,11827,1,1.0000,0724:04_0724:04,0.824,1.822,1289;4952;5440;11827;,0724:00;0724:46;0725:30;0725:54;
1574,17,12,1289,11151,1,1.0000,0759:46_0759:46,2.273,4.626,1289;4952;5022;5524;5863;5009;5027;11150;5109;11151;,0759:42;0800:28;0801:24;0801:44;0802:31;0802:50;0803:12;0803:41;0803:52;0804:24;
1575,3,34,11159,1322,1,1.0000,0749:54_0749:54,0.725,1.494,11159;5112;5589;1322;,0749:54;0750:18;0750:40;0751:24;
1576,1,11,5577,5119,1,1.0000,0757:07_0757:07,4.772,8.983,5577;5436;5018;5017;11124;5022;5524;5863;5009;5027;11150;5109;4804;5106;5117;11255;5118;5727;5119;,0757:06;0757:25;0758:08;0758:49;0759:26;0759:40;0800:00;0800:54;0801:13;0801:28;0801:57;0802:08;0802:39;0803:18;0805:10;0805:24;0805:45;0805:58;0806:06;
1577,6,11,5238,5119,1,1.0000,0732:24_0732:24,4.480,7.496,5238;5208;5209;5211;5210;11172;5112;5589;5114;5592;1;2;3;4;5;5117;11255;5118;5727;5119;,0732:24;0733:24;0734:01;0734:33;0734:58;0735:44;0736:07;0736:29;0736:53;0737:34;0737:48;0738:02;0738:15;0738:29;0738:43;0738:56;0739:10;0739:32;0739:44;0739:54;
1578,37,11,1353,5119,1,1.0000,0744:14_0744:14,2.093,4.263,1353;5589;5114;5592;1;2;3;4;5;5117;11255;5118;5727;5119;,0744:12;0745:06;0745:29;0746:11;0746:24;0746:38;0746:52;0747:05;0747:19;0747:32;0747:46;0748:08;0748:20;0748:30;
1579,3,24,11159,1325,1,1.0000,0717:46_0717:46,2.628,5.126,11159;5112;5589;5114;5592;1;2;3;4;5;5117;11255;5118;11910;10853;1325;,0717:42;0718:10;0718:32;0718:56;0719:37;0719:51;0720:05;0720:18;0720:32;0720:46;0720:59;0721:13;0721:35;0721:55;0722:20;0722:54;
1580,1,34,5577,1319,1,1.0000,0730:03_0730:03,1.563,2.439,5577;5436;5018;5017;11146;1319;,0730:00;0730:22;0731:04;0731:46;0732:07;0732:30;
1581,5,41,11282,5578,1,1.0000,0718:16_0718:16,4.968,7.429,11282;5208;5209;5211;5210;11172;5112;11160;5113;11148;5736;11146;5017;5018;5436;5578;,0718:12;0718:43;0719:20;0719:52;0720:17;0721:03;0721:25;0721:43;0722:02;0722:31;0722:50;0723:10;0723:31;0724:13;0724:55;0725:42;
