name,road_link_id,from_node_id,to_node_id,direction,length,lanes,free_speed,capacity,link_type,link_type_name,jam_density,demand_type_code,count_sensor_id,speed_sensor_id
9400 Sout,0,8172,11489,1,0.1499,1,35,857,3,Principal arterial,1331,,,
7000 South,0,10872,5030,1,0.18159,2,36,814,3,Principal arterial,1332,,,
7000 South,0,10872,5861,1,0.1205,2,36,814,3,Principal arterial,1333,,,
7800 South,0,11123,5017,1,0.2622,2,36,814,3,Principal arterial,1334,,,
7800 South,0,11124,5017,1,0.3644,2,36,814,3,Principal arterial,1335,,,
7800 South,0,11124,5022,1,0.1398,2,36,814,3,Principal arterial,1336,,,
7000 South,0,11125,5436,1,0.2509,2,36,814,3,Principal arterial,1337,,,
7000 South,0,11125,5440,1,0.27677,2,36,814,3,Principal arterial,1338,,,
7000 South,0,11126,5441,1,0.11932,2,36,814,3,Principal arterial,1339,,,
7000 South,0,11126,11127,1,0.3179,2,36,814,3,Principal arterial,1340,,,
7000 South,0,11127,5440,1,0.25977,2,36,814,3,Principal arterial,1341,,,
7000 South,0,11127,11126,1,0.3179,2,36,814,3,Principal arterial,1342,,,
7200 South,0,11128,5030,1,0.13451,2,29,814,3,Principal arterial,1343,,,
7200 South,0,11128,5037,1,0.33214,2,29,814,3,Principal arterial,1344,,,
Center St,0,11129,5027,1,0.1417,2,36,814,3,Principal arterial,1345,,,
Center St,0,11129,5034,1,0.27834,2,36,814,3,Principal arterial,1346,,,
South Jordan,0,11259,5214,1,0.1306,2,36,814,3,Principal arterial,1347,,,
Connector,0,3001,1359,1,0.12113,7,21,10000,1,Zone Connector,1348,,,
Connector,0,1359,3001,1,0.12113,7,21,10000,1,Zone Connector,1349,,,
South Jordan,0,11259,5587,1,0.4105,2,36,814,3,Principal arterial,1350,,,
South Jordan,0,11261,5208,1,0.2147,2,36,814,3,Principal arterial,1351,,,
Connector,0,1358,3002,1,0.12113,7,21,10000,1,Zone Connector,1352,,,
Connector,0,3002,1358,1,0.12113,7,21,10000,1,Zone Connector,1353,,,
Connector,0,1323,11161,1,0.12113,7,21,10000,1,Zone Connector,1354,,,
Connector,0,11161,1323,1,0.12113,7,21,10000,1,Zone Connector,1355,,,
Connector,0,1319,11146,1,0.12113,7,21,10000,1,Zone Connector,1356,,,
Connector,0,11146,1319,1,0.12113,7,21,10000,1,Zone Connector,1357,,,
Connector,0,1319,11147,1,0.12113,7,21,10000,1,Zone Connector,1358,,,
Connector,0,11147,1319,1,0.12113,7,21,10000,1,Zone Connector,1359,,,
Connector,0,1322,11160,1,0.12113,7,21,10000,1,Zone Connector,1360,,,
Connector,0,11160,1322,1,0.12113,7,21,10000,1,Zone Connector,1361,,,
Connector,0,1360,5730,1,0.12113,7,21,10000,1,Zone Connector,1362,,,
Connector,0,5730,1360,1,0.12113,7,21,10000,1,Zone Connector,1363,,,
South Jordan,0,11261,5214,1,0.2844,2,36,814,3,Principal arterial,1364,,,
10400 South,0,11282,5208,1,0.2666,1,35,857,3,Principal arterial,1365,,,
9400 Sout,0,11489,7984,1,0.1026,1,30,814,3,Principal arterial,1366,,,
9400 Sout,0,11489,8172,1,0.1499,1,35,857,3,Principal arterial,1367,,,
Riverside,0,1358,3000,1,0.12113,1,35,600,3,Principal arterial,1368,,,
Riverside,0,1358,5117,1,0.12113,1,35,600,3,Principal arterial,1369,,,
Riverside,0,5117,1358,1,0.12113,1,35,600,3,Principal arterial,1370,,,
Riverside,0,3000,1358,1,0.12113,1,35,600,3,Principal arterial,1371,,,
9400 South,0,3000,3001,1,0.12113,1,35,600,3,Principal arterial,1372,,,
9400 South,0,3001,3000,1,0.12113,1,35,600,3,Principal arterial,1373,,,
9400 South,0,3001,8172,1,0.12113,1,35,600,3,Principal arterial,1374,,,
9400 South,0,8172,3000,1,0.12113,1,35,600,3,Principal arterial,1375,,,
